college_team,college_conference,nfl_team,year,overall,draft_round,pick,name,position,height,weight,season_before_draft,rushing_car,rushing_yds,rushing_td,rushing_ypc,receiving_rec,receiving_yds,receiving_td,receiving_ypr,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Illinois,Big Ten,Cincinnati,2023,163,5,29,Chase Brown,Running Back,70.0,209.0,2022,328,1643,10,5.0,27.0,240.0,3.0,8.9,12,8,4,1,0,1,4.43,,40.0,127.0,,,Y
Oklahoma,Big 12,New York,2023,172,5,38,Eric Gray,Running Back,70.0,207.0,2022,213,1364,11,6.4,33.0,229.0,0.0,6.9,12,6,6,1,0,1,,,37.5,118.0,,,Y
Northwestern,Big Ten,Indianapolis,2023,176,5,42,Evan Hull,Running Back,70.0,209.0,2022,221,913,5,4.1,55.0,546.0,2.0,9.9,12,1,11,0,0,0,,,,,,,N
Kentucky,SEC,Washington,2023,193,6,16,Chris Rodriguez Jr.,Running Back,72.0,217.0,2022,174,903,6,5.2,5.0,41.0,0.0,8.2,12,7,5,1,0,1,,,,,,,N
Kansas State,Big 12,Dallas,2023,212,6,35,Deuce Vaughn,Running Back,65.0,179.0,2022,293,1558,9,5.3,42.0,378.0,3.0,9.0,13,10,3,1,0,1,,,35.5,116.0,,,Y
Ole Miss,SEC,Los Angeles,2023,215,6,38,Zach Evans,Running Back,71.0,202.0,2022,144,936,9,6.5,12.0,119.0,1.0,9.9,12,8,4,1,0,1,,,,,,,Y
UAB,Conference USA,Minnesota,2023,222,7,5,DeWayne McBride,Running Back,70.0,209.0,2022,233,1710,19,7.3,2.0,10.0,0.0,5.0,12,6,6,1,1,0,,,,,,,N
Central Michigan,Mid-American,Green Bay,2023,235,7,18,Lew Nichols III,Running Back,,,2022,177,601,6,3.4,21.0,128.0,0.0,6.1,12,4,8,0,0,0,,,,,,,N
Georgia,SEC,Seattle,2023,237,7,20,Kenny McIntosh,Running Back,72.0,204.0,2022,150,829,10,5.5,43.0,504.0,2.0,11.7,13,13,0,2,2,0,4.62,,,,,,Y
Texas,Big 12,Carolina,2024,46,2,14,Jonathon Brooks,Running Back,72.0,216.0,2023,187,1139,10,6.1,25.0,286.0,1.0,11.4,13,12,1,1,0,1,,,,,,,Y
Florida State,ACC,Arizona,2024,66,3,2,Trey Benson,Running Back,72.0,216.0,2023,156,905,14,5.8,20.0,227.0,1.0,11.4,13,13,0,1,0,1,4.39,,33.5,122.0,,,Y
Michigan,Big Ten,Los Angeles,2024,83,3,19,Blake Corum,Running Back,68.0,205.0,2023,258,1245,27,4.8,16.0,117.0,1.0,7.3,13,13,0,2,2,0,4.53,27.0,35.5,,6.82,4.12,Y
USC,Pac-12,Green Bay,2024,88,3,25,MarShawn Lloyd,Running Back,69.0,220.0,2023,116,820,9,7.1,13.0,232.0,0.0,17.8,12,7,5,1,1,0,4.46,25.0,36.0,118.0,,,Y
Tennessee,SEC,Miami,2024,120,4,20,Jaylen Wright,Running Back,71.0,210.0,2023,137,1013,4,7.4,22.0,141.0,0.0,6.4,12,8,4,1,1,0,4.38,,38.0,134.0,,,Y
Oregon,Pac-12,Tampa Bay,2024,125,4,25,Bucky Irving,Running Back,69.0,192.0,2023,186,1180,11,6.3,56.0,413.0,2.0,7.4,13,11,2,1,1,0,4.55,,29.5,115.0,,,Y
Clemson,ACC,Philadelphia,2024,127,4,27,Will Shipley,Running Back,71.0,206.0,2023,167,827,5,5.0,31.0,244.0,2.0,7.9,12,8,4,1,1,0,,,,,,,Y
Kentucky,SEC,Buffalo,2024,128,4,28,Ray Davis,Running Back,68.0,211.0,2023,199,1129,14,5.7,33.0,323.0,7.0,9.8,12,7,5,1,0,1,,,,,,,N
Louisville,ACC,San Francisco,2024,129,4,29,Isaac Guerendo,Running Back,72.0,221.0,2023,132,810,11,6.1,22.0,234.0,0.0,10.6,13,10,3,1,0,1,4.33,,41.5,129.0,6.94,4.15,Y
Wisconsin,Big Ten,New York,2024,134,4,34,Braelon Allen,Running Back,73.0,235.0,2023,181,984,12,5.4,28.0,131.0,0.0,4.7,12,7,5,1,0,1,,26.0,32.0,117.0,,,Y
Notre Dame,FBS Independents,Denver,2024,147,5,12,Audric Estime,Running Back,71.0,221.0,2023,210,1341,18,6.4,17.0,142.0,0.0,8.4,12,9,3,1,1,0,4.71,23.0,38.0,125.0,,,Y
Marshall,Sun Belt,Baltimore,2024,165,5,30,Rasheen Ali,Running Back,71.0,206.0,2023,212,1140,15,5.4,28.0,213.0,1.0,7.6,12,6,6,1,0,1,,,,,,,Y
Purdue,Big Ten,New York,2024,166,5,31,Tyrone Tracy Jr.,Running Back,71.0,209.0,2023,113,716,8,6.3,19.0,132.0,0.0,6.9,12,4,8,0,0,0,4.48,,40.0,124.0,6.81,4.06,Y
Texas,Big 12,Jacksonville,2024,167,5,32,Keilan Robinson,Running Back,68.0,191.0,2023,12,134,3,11.2,8.0,56.0,0.0,7.0,13,12,1,1,0,1,4.42,,33.0,125.0,,,Y
South Dakota State,MVFC,New York,2024,173,5,38,Isaiah Davis,Running Back,72.0,218.0,2023,227,1529,17,6.7,22.0,190.0,1.0,8.6,11,11,0,4,4,0,,,,,,,N
Troy,Sun Belt,Los Angeles,2024,181,6,5,Kimani Vidal,Running Back,68.0,213.0,2023,296,1662,14,5.6,18.0,201.0,1.0,11.2,13,11,2,1,0,1,4.46,18.0,37.5,120.0,7.01,4.15,Y
Alabama,SEC,Atlanta,2024,186,6,10,Jase McClellan,Running Back,70.0,221.0,2023,180,890,8,4.9,15.0,137.0,0.0,9.1,13,12,1,1,0,1,,20.0,,,,,Y
Louisville,ACC,Houston,2024,205,6,29,Jawhar Jordan,Running Back,70.0,193.0,2023,181,1128,13,6.2,21.0,246.0,1.0,11.7,13,10,3,1,0,1,4.56,,,,,,Y
New Hampshire,CAA,Las Vegas,2024,208,6,32,Dylan Laube,Running Back,70.0,206.0,2023,158,715,9,4.5,68.0,699.0,7.0,10.3,11,6,5,0,0,0,,,,,,,N
